ustime gx gy gz ax ay az
2314922586 45 -65 -44 -16531 -126 1133
2314929552 47 -82 -48 -16737 -179 1295
2314936217 49 -80 -49 -16253 -147 1199
2314942871 42 -69 -47 -16609 -153 1175
2314949514 48 -78 -46 -16378 -146 1189
2314956158 46 -74 -43 -16504 -172 1179
2314962801 45 -69 -38 -16505 -140 1154
2314969440 47 -77 -44 -16379 -168 1177
2314976117 45 -72 -36 -16564 -119 1156
2314982767 46 -79 -42 -16603 -150 1217
2314989421 44 -75 -54 -16322 -164 1141
2314996058 47 -76 -48 -16576 -139 1215
2315002695 48 -74 -44 -16452 -124 1155
2315009326 45 -76 -41 -16509 -141 1206
2315015764 49 -72 -44 -16433 -181 1164
2315022200 46 -74 -39 -16387 -156 1175
2315028634 48 -74 -43 -16526 -170 1210
2315035076 47 -77 -49 -16439 -141 1191
2315041507 45 -74 -48 -16454 -170 1206
2315047944 47 -76 -40 -16477 -165 1203
2315054377 48 -70 -45 -16485 -163 1205
2315060816 47 -77 -45 -16445 -149 1180
2315067249 48 -71 -44 -16451 -166 1174
2315073695 45 -75 -43 -16472 -158 1171
2315080130 46 -74 -40 -16492 -150 1203
2315086566 47 -79 -42 -16477 -151 1185
2315093018 46 -79 -45 -16477 -125 1241
2315099489 44 -73 -43 -16463 -155 1152
2315105978 46 -74 -45 -16495 -139 1205
2315112445 46 -82 -49 -16450 -150 1221
2315118921 46 -79 -43 -16498 -128 1203
2315125394 44 -78 -41 -16470 -195 1190
2315131869 44 -76 -44 -16474 -166 1165
2315138343 47 -71 -46 -16452 -146 1187
2315144827 47 -78 -41 -16439 -162 1220
2315151305 44 -79 -46 -16477 -141 1240
2315157777 45 -77 -43 -16431 -148 1172
2315164251 46 -73 -41 -16435 -141 1205
2315170725 48 -80 -50 -16488 -112 1245
2315177182 42 -79 -37 -16439 -164 1169
2315183646 48 -75 -50 -16461 -106 1226
2315190109 51 -75 -44 -16478 -182 1158
2315196577 45 -76 -46 -16509 -183 1209
2315203037 46 -76 -44 -16478 -136 1167
2315209524 48 -79 -47 -16483 -128 1206
2315215998 42 -75 -47 -16473 -116 1163
2315222480 45 -75 -46 -16467 -136 1177
2315228959 46 -77 -42 -16460 -151 1198
2315235422 47 -78 -44 -16470 -154 1179
2315241895 45 -73 -43 -16467 -178 1190
2315248389 46 -78 -50 -16474 -169 1181
2315254866 46 -77 -43 -16445 -129 1204
2315261456 42 -75 -43 -16498 -149 1173
2315267927 49 -77 -44 -16456 -166 1242
2315274396 48 -72 -39 -16437 -173 1214
2315280830 48 -75 -39 -16411 -170 1189
2315287303 50 -82 -39 -16470 -160 1223
2315293746 48 -79 -43 -16435 -137 1203
2315300208 50 -77 -43 -16398 -170 1218
2315306679 45 -79 -44 -16546 -158 1192
2315313156 49 -79 -43 -16456 -158 1171
2315319632 43 -80 -46 -16505 -146 1186
2315326105 47 -78 -44 -16456 -151 1222
2315332589 55 -77 -46 -16488 -148 1211
2315339065 50 -81 -44 -16468 -171 1219
2315345542 46 -81 -48 -16471 -118 1189
2315351970 47 -82 -43 -16481 -146 1175
2315358445 54 -73 -46 -16452 -162 1188
2315364913 47 -77 -51 -16486 -145 1200
2315371392 51 -77 -44 -16498 -143 1181
2315377819 49 -70 -45 -16469 -155 1246
2315384300 48 -73 -40 -16434 -178 1208
2315390774 47 -72 -46 -16428 -144 1189
2315397247 44 -74 -46 -16488 -182 1176
2315403724 43 -76 -49 -16518 -141 1193
2315410194 48 -75 -47 -16458 -169 1218
2315416681 47 -74 -44 -16443 -168 1236
2315423157 51 -77 -46 -16547 -187 1253
2315429628 46 -76 -54 -16459 -162 1178
2315436106 47 -72 -44 -16440 -164 1197
2315442579 49 -69 -41 -16462 -136 1203
2315449050 50 -81 -45 -16440 -166 1182
2315455524 46 -78 -45 -16481 -194 1181
2315461996 50 -78 -41 -16449 -145 1201
2315468479 46 -78 -42 -16446 -120 1216
2315474961 45 -70 -41 -16473 -132 1180
2315481433 44 -67 -38 -16495 -176 1151
2315487907 47 -79 -43 -16475 -135 1205
2315494389 49 -82 -45 -16495 -153 1187
2315500866 46 -74 -41 -16441 -149 1136
2315507339 45 -72 -47 -16494 -154 1181
2315513827 47 -74 -42 -16468 -184 1190
2315520305 44 -81 -40 -16429 -132 1178
2315526776 46 -82 -46 -16457 -148 1197
2315533248 45 -76 -49 -16465 -185 1191
2315539724 46 -69 -50 -16527 -166 1188
2315546207 47 -74 -42 -16488 -156 1201
2315552683 46 -77 -46 -16501 -150 1215
2315559154 45 -76 -47 -16500 -146 1213
2315565632 48 -70 -50 -16451 -150 1223
2315572062 49 -80 -49 -16486 -182 1164
2315578521 49 -78 -41 -16483 -114 1174
2315584998 49 -81 -43 -16487 -175 1212
2315591471 48 -74 -51 -16445 -166 1185
2315597915 49 -76 -46 -16449 -176 1189
2315604432 49 -73 -44 -16481 -124 1172
2315610870 48 -77 -51 -16447 -154 1189
2315617303 46 -76 -49 -16460 -151 1176
2315623754 46 -71 -46 -16458 -161 1197
2315630190 48 -83 -48 -16474 -164 1221
2315636624 45 -72 -40 -16452 -168 1200
2315643049 44 -75 -40 -16442 -139 1208
2315649477 45 -80 -48 -16518 -178 1193
2315655916 47 -79 -46 -16483 -164 1171
2315662350 45 -75 -42 -16487 -129 1190
2315668784 44 -76 -45 -16506 -142 1152
2315675215 46 -72 -41 -16461 -124 1194
2315681647 47 -72 -47 -16492 -152 1149
2315688075 46 -83 -47 -16484 -152 1152
2315694501 45 -72 -46 -16438 -129 1220
2315700929 48 -74 -37 -16435 -170 1251
2315707354 49 -73 -50 -16469 -142 1177
2315713802 45 -78 -41 -16452 -129 1154
2315720237 45 -73 -42 -16496 -132 1165
2315726669 46 -75 -46 -16493 -118 1225
2315733101 51 -81 -51 -16442 -146 1177
2315739524 42 -74 -41 -16517 -182 1213
2315745966 51 -78 -47 -16476 -157 1181
2315752406 47 -74 -43 -16440 -145 1218
2315758838 46 -74 -43 -16474 -174 1200
2315765277 48 -76 -43 -16461 -137 1188
2315771714 47 -78 -37 -16476 -149 1222
2315778150 49 -76 -43 -16466 -133 1203
2315784558 43 -76 -45 -16524 -164 1190
2315790956 44 -79 -49 -16464 -167 1197
2315797380 49 -72 -42 -16449 -186 1192
2315803813 38 -77 -49 -16477 -169 1242
2315810248 47 -77 -41 -16483 -175 1207
2315816687 46 -68 -49 -16458 -161 1165
2315823124 46 -72 -40 -16471 -165 1187
2315829558 51 -72 -47 -16513 -122 1220
2315835992 46 -76 -45 -16488 -182 1186
2315842427 44 -76 -41 -16486 -193 1205
2315848866 48 -77 -51 -16481 -161 1187
2315855271 47 -79 -52 -16478 -179 1184
2315861675 49 -80 -39 -16479 -158 1219
2315868103 46 -79 -48 -16504 -155 1175
2315874505 49 -68 -49 -16452 -152 1160
2315880937 46 -71 -43 -16512 -154 1166
2315887374 44 -77 -41 -16483 -162 1207
2315893809 52 -74 -39 -16452 -121 1214
2315900211 48 -74 -46 -16462 -187 1185
2315906638 46 -75 -42 -16454 -161 1160
2315913071 48 -72 -52 -16456 -168 1210
2315919506 49 -76 -43 -16434 -126 1216
2315925943 46 -74 -47 -16493 -144 1233
2315932375 44 -77 -50 -16475 -162 1181
2315938814 41 -75 -46 -16456 -145 1218
2315945261 47 -76 -48 -16557 -163 1216
2315951795 48 -81 -49 -16469 -158 1209
2315958235 45 -72 -44 -16473 -124 1175
2315964673 45 -80 -46 -16470 -149 1223
2315971112 48 -83 -48 -16501 -155 1177
2315977539 46 -80 -36 -16477 -102 1208
2315983984 43 -72 -40 -16481 -165 1200
2315990415 46 -80 -46 -16485 -158 1191
2315996851 48 -75 -48 -16481 -166 1173
2316003288 46 -77 -45 -16516 -149 1192
2316009690 53 -69 -45 -16463 -173 1207
2316016123 47 -75 -42 -16454 -163 1179
2316022552 46 -76 -38 -16467 -145 1132
2316028980 50 -81 -42 -16465 -156 1168
2316035387 48 -76 -42 -16455 -149 1231
2316041822 49 -70 -49 -16493 -152 1222
2316048248 47 -78 -46 -16441 -150 1169
2316054682 51 -72 -43 -16489 -144 1174
2316061111 45 -77 -43 -16469 -117 1202
2316067540 45 -73 -46 -16463 -162 1197
2316073975 46 -71 -45 -16422 -170 1150
2316080411 45 -75 -42 -16480 -151 1220
2316086846 51 -80 -47 -16491 -177 1225
2316093281 46 -70 -47 -16481 -164 1218
2316099715 49 -73 -43 -16454 -138 1188
2316106150 45 -73 -45 -16472 -182 1167
2316112586 46 -80 -47 -16474 -128 1209
2316119020 45 -72 -50 -16442 -128 1174
2316125426 48 -79 -48 -16472 -151 1238
2316131822 51 -82 -43 -16421 -167 1165
2316138247 46 -75 -39 -16494 -165 1166
2316144678 47 -81 -43 -16467 -151 1248
2316151115 50 -82 -43 -16484 -114 1192
2316157522 43 -72 -46 -16477 -160 1165
2316163961 47 -76 -46 -16451 -188 1162
2316170394 47 -85 -47 -16518 -155 1239
2316176846 49 -73 -52 -16479 -168 1153
2316183281 47 -68 -40 -16391 -178 1157
2316189713 44 -73 -45 -16516 -160 1222
2316196143 49 -71 -49 -16480 -161 1176
2316202576 45 -80 -47 -16481 -164 1199
2316209013 39 -75 -41 -16485 -159 1181
2316215443 49 -74 -40 -16531 -189 1194
